Date,southern,northern,central,east_coast,borneo,temp_s,rain_s,rh_s,temp_n,rain_n,rh_n,temp_c,rain_c,rh_c,temp_ec,rain_ec,rh_ec,temp_b,rain_b,rh_b
29/1/2009,2,7,4,0,68,26.73333333,74.32666667,4.333333333,27.25416667,70.7375,0,25.83333333,84.33333333,27.26666667,24.81777778,84.11555556,13.68,26.60119048,87.225,29.83333333
30/1/2009,0,3,7,0,71,26.66666667,80.00666667,6.746666667,27.16666667,72.84166667,2.066666667,26.16666667,82.2,5.266666667,24.93111111,79.82,3.493333333,26.52857143,86.29880952,28.54166667
31/1/2009,2,0,4,1,29,26.12666667,78.6,0,27.4625,72.9,3.783333333,26.13333333,83.46666667,3.4,24.82,82.78,1.773333333,26.47857143,85.80119048,10.7
1/2/2009,2,3,4,1,31,26.04,74.14666667,0.213333333,26.96666667,72.2125,0.266666667,25.56666667,84.1,15.8,24.82888889,82.21777778,0.128888889,26.27619048,87.30714286,16.6125
2/2/2009,2,3,4,0,61,26.46666667,75.48666667,0,27.125,69.80833333,0.133333333,26.3,80.56666667,46.06666667,24.92666667,80.86666667,0.466666667,26.16190476,86.84285714,9.0625
3/2/2009,1,2,7,1,76,26.47,74.38666667,0,26.94583333,70.87083333,3.15,25.73333333,83.86666667,5.4,24.71777778,81.61111111,0.333333333,26.03452381,87.22380952,16.30833333
4/2/2009,3,4,3,0,65,26.525,76.44666667,1.266666667,27.12083333,73.1125,1.966666667,26.16666667,78.5,12.13333333,25.36444444,81.10888889,0.315555556,25.68095238,86.43928571,41.56666667
5/2/2009,6,2,5,2,52,26.54,77.18,0.493333333,27.3,74.15416667,1.016666667,26.7,76.9,0,25.25777778,80.76,9.44,25.04047619,88.21071429,59.6625
6/2/2009,0,3,6,1,45,26.82666667,73.9,0,26.95833333,75.56666667,0.316666667,26,79.36666667,7.8,24.86222222,83.31111111,1.933333333,24.23452381,90.31071429,9.5875
7/2/2009,0,0,4,5,30,26.50666667,74.49333333,0,27.21666667,72.15,0.15,26.53333333,74.5,0,25.20222222,79.98,1.52,25.4452381,86.5702381,2.875
8/2/2009,1,2,6,2,32,27.04,72.72,4.933333333,27.7875,68.74166667,0,27.9,72.16666667,2.466666667,25.41777778,76.43333333,0.546666667,26.14404762,86.28095238,5.7125
9/2/2009,0,7,3,3,70,27.23333333,73.27333333,0,27.96666667,68.83333333,0.016666667,27.63333333,75.63333333,0.066666667,25.30444444,76.45555556,0.32,26.45952381,85.93690476,4.208333333
10/2/2009,5,6,8,2,59,26.79333333,73.13333333,0,27.7625,72.49166667,0.65,27.43333333,75.1,0.466666667,25.61555556,75.83555556,1.053333333,26.5702381,84.70714286,5.633333333
11/2/2009,0,3,5,2,52,26.92666667,76.77333333,1.96,27.91666667,76.23333333,0,27.6,75.83333333,0,26.17777778,81.43555556,6.36,26.77380952,83.33928571,0.6
12/2/2009,3,1,4,2,51,26.96666667,79.74,0.626666667,28.10833333,76.57916667,0,27.46666667,77.16666667,0,26.27333333,81.07777778,0.133333333,26.65119048,83.60595238,1.066666667
13/2/2009,7,2,2,1,61,27.61,78.92666667,0.5,27.85833333,77.20833333,2.15,28,74.73333333,0,26.88,81.30888889,0.626666667,27.08095238,82.71309524,5.016666667
14/2/2009,1,1,3,0,23,27.55833333,75.46,0.24,27.55,77.37916667,0,27.96666667,70.4,0,26.61555556,79.85111111,2.013333333,26.93214286,82.76904762,0.354166667
15/2/2009,0,3,0,1,39,27.97583333,73.48666667,0,27.425,75.33333333,0,28,70.56666667,0,26.41555556,78.48444444,0.822222222,26.67142857,83.61190476,2.525
16/2/2009,2,4,10,7,71,28.1,76.49333333,0.786666667,27.85416667,73.37083333,0.025,28.6,71.66666667,0,26.70444444,82.10888889,12.33333333,26.7952381,83.6952381,0.158333333
